Time,Bid_Open_open,Bid_Open_high,Bid_Open_low,Bid_Open_close,Bid_High_open,Bid_High_high,Bid_High_low,Bid_High_close,Bid_Low_open,Bid_Low_high,Bid_Low_low,Bid_Low_close,Bid_Close_open,Bid_Close_high,Bid_Close_low,Bid_Close_close,Ask_Open_open,Ask_Open_high,Ask_Open_low,Ask_Open_close,Ask_High_open,Ask_High_high,Ask_High_low,Ask_High_close,Ask_Low_open,Ask_Low_high,Ask_Low_low,Ask_Low_close,Ask_Close_open,Ask_Close_high,Ask_Close_low,Ask_Close_close,Volume_open,Volume_high,Volume_low,Volume_close,returns,SMA_20,BB_upper,BB_lower,RSI,close_normalized
2024-10-13 21:05:00+00:00,1.30621,1.30621,1.30621,1.30621,1.30633,1.30633,1.30633,1.30633,1.30615,1.30615,1.30615,1.30615,1.3063,1.3063,1.3063,1.3063,1.30666,1.30666,1.30666,1.30666,1.30678,1.30678,1.30678,1.30678,1.3066,1.3066,1.3066,1.3066,1.30665,1.30665,1.30665,1.30665,0.0,0.0,0.0,0.0,,,,,,0.9024390243902417
2024-10-13 21:10:00+00:00,1.3063,1.3063,1.3063,1.3063,1.30647,1.30647,1.30647,1.30647,1.3063,1.3063,1.3063,1.3063,1.30647,1.30647,1.30647,1.30647,1.30672,1.30672,1.30672,1.30672,1.3069,1.3069,1.3069,1.3069,1.30672,1.30672,1.30672,1.30672,1.3069,1.3069,1.3069,1.3069,0.0,0.0,0.0,0.0,0.00013013855928956097,,,,,0.97154471544715
2024-10-13 21:15:00+00:00,1.30647,1.30647,1.30647,1.30647,1.30653,1.30653,1.30653,1.30653,1.30641,1.30641,1.30641,1.30641,1.30653,1.30653,1.30653,1.30653,1.30687,1.30687,1.30687,1.30687,1.30696,1.30696,1.30696,1.30696,1.30685,1.30685,1.30685,1.30685,1.30695,1.30695,1.30695,1.30695,0.0,0.0,0.0,0.0,4.5925279570147026e-05,,,,,0.9959349593495671
2024-10-13 21:20:00+00:00,1.30653,1.30653,1.30653,1.30653,1.30656,1.30656,1.30656,1.30656,1.30644,1.30644,1.30644,1.30644,1.30647,1.30647,1.30647,1.30647,1.30697,1.30697,1.30697,1.30697,1.307,1.307,1.307,1.307,1.30685,1.30685,1.30685,1.30685,1.3069,1.3069,1.3069,1.3069,0.0,0.0,0.0,0.0,-4.592317053564443e-05,,,,,0.97154471544715
2024-10-13 21:25:00+00:00,1.30647,1.30647,1.30647,1.30647,1.30661,1.30661,1.30661,1.30661,1.30647,1.30647,1.30647,1.30647,1.30654,1.30654,1.30654,1.30654,1.30691,1.30691,1.30691,1.30691,1.30706,1.30706,1.30706,1.30706,1.3069,1.3069,1.3069,1.3069,1.30697,1.30697,1.30697,1.30697,0.0,0.0,0.0,0.0,5.357949283180119e-05,,,,,1.0
2024-10-13 21:30:00+00:00,1.30653,1.30653,1.30653,1.30653,1.30656,1.30656,1.30656,1.30656,1.30647,1.30647,1.30647,1.30647,1.3065,1.3065,1.3065,1.3065,1.30693,1.30693,1.30693,1.30693,1.30699,1.30699,1.30699,1.30699,1.3069,1.3069,1.3069,1.3069,1.30693,1.30693,1.30693,1.30693,0.0,0.0,0.0,0.0,-3.06152126992032e-05,,,,,0.9837398373983586
2024-10-13 21:35:00+00:00,1.30652,1.30652,1.30652,1.30652,1.30653,1.30653,1.30653,1.30653,1.30636,1.30636,1.30636,1.30636,1.30636,1.30636,1.30636,1.30636,1.30695,1.30695,1.30695,1.30695,1.30696,1.30696,1.30696,1.30696,1.30678,1.30678,1.30678,1.30678,1.30678,1.30678,1.30678,1.30678,0.0,0.0,0.0,0.0,-0.00010715652506698703,,,,,0.9268292682926587
2024-10-13 21:40:00+00:00,1.30636,1.30636,1.30636,1.30636,1.30636,1.30636,1.30636,1.30636,1.30623,1.30623,1.30623,1.30623,1.30624,1.30624,1.30624,1.30624,1.30676,1.30676,1.30676,1.30676,1.30677,1.30677,1.30677,1.30677,1.30665,1.30665,1.30665,1.30665,1.30666,1.30666,1.30666,1.30666,0.0,0.0,0.0,0.0,-9.185829327285067e-05,,,,,0.8780487804878246
2024-10-13 21:45:00+00:00,1.30624,1.30624,1.30624,1.30624,1.30643,1.30643,1.30643,1.30643,1.3062,1.3062,1.3062,1.3062,1.30628,1.30628,1.30628,1.30628,1.30685,1.30685,1.30685,1.30685,1.30685,1.30685,1.30685,1.30685,1.30662,1.30662,1.30662,1.30662,1.30671,1.30671,1.30671,1.30671,0.0,0.0,0.0,0.0,3.062224399807967e-05,,,,,0.8943089430894661
2024-10-13 21:50:00+00:00,1.30625,1.30625,1.30625,1.30625,1.30632,1.30632,1.30632,1.30632,1.30623,1.30623,1.30623,1.30623,1.30631,1.30631,1.30631,1.30631,1.30668,1.30668,1.30668,1.30668,1.30676,1.30676,1.30676,1.30676,1.30666,1.30666,1.30666,1.30666,1.30674,1.30674,1.30674,1.30674,0.0,0.0,0.0,0.0,2.296597972861747e-05,,,,,0.9065040650406746
2024-10-13 21:55:00+00:00,1.30631,1.30631,1.30631,1.30631,1.30663,1.30663,1.30663,1.30663,1.30631,1.30631,1.30631,1.30631,1.30649,1.30649,1.30649,1.30649,1.30675,1.30675,1.30675,1.30675,1.30705,1.30705,1.30705,1.30705,1.30674,1.30674,1.30674,1.30674,1.30691,1.30691,1.30691,1.30691,0.0,0.0,0.0,0.0,0.00013779271382730052,,,,,0.9796747967479257
2024-10-13 22:00:00+00:00,1.30646,1.30646,1.30646,1.30646,1.30662,1.30662,1.30662,1.30662,1.30581,1.30581,1.30581,1.30581,1.30599,1.30599,1.30599,1.30599,1.30687,1.30687,1.30687,1.30687,1.30706,1.30706,1.30706,1.30706,1.30599,1.30599,1.30599,1.30599,1.30612,1.30612,1.30612,1.30612,0.0,0.0,0.0,0.0,-0.00038270480447610833,,,,,0.7764227642276335
2024-10-13 22:05:00+00:00,1.30598,1.30598,1.30598,1.30598,1.30599,1.30599,1.30599,1.30599,1.3056,1.3056,1.3056,1.3056,1.30567,1.30567,1.30567,1.30567,1.30611,1.30611,1.30611,1.30611,1.30612,1.30612,1.30612,1.30612,1.30573,1.30573,1.30573,1.30573,1.3058,1.3058,1.3058,1.3058,0.0,0.0,0.0,0.0,-0.00024502484705080096,,,,,0.6463414634146826
2024-10-13 22:10:00+00:00,1.30567,1.30567,1.30567,1.30567,1.3059,1.3059,1.3059,1.3059,1.3056,1.3056,1.3056,1.3056,1.30576,1.30576,1.30576,1.30576,1.30579,1.30579,1.30579,1.30579,1.30603,1.30603,1.30603,1.30603,1.30573,1.30573,1.30573,1.30573,1.30589,1.30589,1.30589,1.30589,0.0,0.0,0.0,0.0,6.89301278269383e-05,,,,35.1648351648314,0.682926829268308
2024-10-13 22:15:00+00:00,1.30576,1.30576,1.30576,1.30576,1.30577,1.30577,1.30577,1.30577,1.30547,1.30547,1.30547,1.30547,1.30551,1.30551,1.30551,1.30551,1.3059,1.3059,1.3059,1.3059,1.3059,1.3059,1.3059,1.3059,1.3056,1.3056,1.3056,1.3056,1.30564,1.30564,1.30564,1.30564,0.0,0.0,0.0,0.0,-0.00019145937997799845,,,,30.917874396129662,0.5813008130081169
2024-10-13 22:20:00+00:00,1.30551,1.30551,1.30551,1.30551,1.30551,1.30551,1.30551,1.30551,1.30538,1.30538,1.30538,1.30538,1.30538,1.30538,1.30538,1.30538,1.30563,1.30563,1.30563,1.30563,1.30564,1.30564,1.30564,1.30564,1.30551,1.30551,1.30551,1.30551,1.30551,1.30551,1.30551,1.30551,0.0,0.0,0.0,0.0,-9.957794271964193e-05,,,,23.152709359598845,0.52845528455285
2024-10-13 22:25:00+00:00,1.30538,1.30538,1.30538,1.30538,1.30547,1.30547,1.30547,1.30547,1.30537,1.30537,1.30537,1.30537,1.30546,1.30546,1.30546,1.30546,1.30552,1.30552,1.30552,1.30552,1.3056,1.3056,1.3056,1.3056,1.3055,1.3055,1.3055,1.3055,1.30559,1.30559,1.30559,1.30559,0.0,0.0,0.0,0.0,6.128483659928463e-05,,,,23.902439024388286,0.5609756097561328
2024-10-13 22:30:00+00:00,1.30547,1.30547,1.30547,1.30547,1.30563,1.30563,1.30563,1.30563,1.30541,1.30541,1.30541,1.30541,1.30548,1.30548,1.30548,1.30548,1.3056,1.3056,1.3056,1.3056,1.30576,1.30576,1.30576,1.30576,1.30554,1.30554,1.30554,1.30554,1.30561,1.30561,1.30561,1.30561,0.0,0.0,0.0,0.0,1.532027024953031e-05,,,,25.373134328352435,0.5691056910569083
2024-10-13 22:35:00+00:00,1.30548,1.30548,1.30548,1.30548,1.3055,1.3055,1.3055,1.3055,1.30529,1.30529,1.30529,1.30529,1.30531,1.30531,1.30531,1.30531,1.3056,1.3056,1.3056,1.3056,1.30563,1.30563,1.30563,1.30563,1.30542,1.30542,1.30542,1.30542,1.30544,1.30544,1.30544,1.30544,0.0,0.0,0.0,0.0,-0.0001302203021110726,,,,20.853080568713494,0.5
2024-10-13 22:40:00+00:00,1.3053,1.3053,1.3053,1.3053,1.30567,1.30567,1.30567,1.30567,1.30526,1.30526,1.30526,1.30526,1.30554,1.30554,1.30554,1.30554,1.30543,1.30543,1.30543,1.30543,1.3058,1.3058,1.3058,1.3058,1.30539,1.30539,1.30539,1.30539,1.30567,1.30567,1.30567,1.30567,0.0,0.0,0.0,0.0,0.00017620335399248788,1.3060295,1.3069448078285757,1.3051141921714242,29.13043478260282,0.5934959349593254
2024-10-13 22:45:00+00:00,1.30554,1.30554,1.30554,1.30554,1.30556,1.30556,1.30556,1.30556,1.30541,1.30541,1.30541,1.30541,1.30545,1.30545,1.30545,1.30545,1.30566,1.30566,1.30566,1.30566,1.30568,1.30568,1.30568,1.30568,1.30554,1.30554,1.30554,1.30554,1.30558,1.30558,1.30558,1.30558,0.0,0.0,0.0,0.0,-6.893699158960764e-05,1.305987,1.3069279983500177,1.3050460016499823,29.777777777773295,0.5569105691056999
2024-10-13 22:50:00+00:00,1.30546,1.30546,1.30546,1.30546,1.30546,1.30546,1.30546,1.30546,1.30528,1.30528,1.30528,1.30528,1.30529,1.30529,1.30529,1.30529,1.30559,1.30559,1.30559,1.30559,1.30559,1.30559,1.30559,1.30559,1.30541,1.30541,1.30541,1.30541,1.30542,1.30542,1.30542,1.30542,0.0,0.0,0.0,0.0,-0.00012256310084635125,1.305928,1.306889240426685,1.304966759573315,29.257641921392334,0.4918699186992244
2024-10-13 22:55:00+00:00,1.30529,1.30529,1.30529,1.30529,1.3053,1.3053,1.3053,1.3053,1.3052,1.3052,1.3052,1.3052,1.30523,1.30523,1.30523,1.30523,1.30541,1.30541,1.30541,1.30541,1.30543,1.30543,1.30543,1.30543,1.30533,1.30533,1.30533,1.30533,1.30536,1.30536,1.30536,1.30536,0.0,0.0,0.0,0.0,-4.596679665069825e-05,1.305863,1.3068286434996517,1.3048973565003483,27.27272727271854,0.46747967479671715
2024-10-13 23:00:00+00:00,1.30526,1.30526,1.30526,1.30526,1.30541,1.30541,1.30541,1.30541,1.30525,1.30525,1.30525,1.30525,1.30537,1.30537,1.30537,1.30537,1.30539,1.30539,1.30539,1.30539,1.30554,1.30554,1.30554,1.30554,1.30538,1.30538,1.30538,1.30538,1.30549,1.30549,1.30549,1.30549,0.0,0.0,0.0,0.0,0.00010726078928624538,1.305808,1.3067531616403105,1.3048628383596896,30.578512396687998,0.5243902439024171
2024-10-13 23:05:00+00:00,1.30537,1.30537,1.30537,1.30537,1.3054,1.3054,1.3054,1.3054,1.30527,1.30527,1.30527,1.30527,1.30531,1.30531,1.30531,1.30531,1.3055,1.3055,1.3055,1.3055,1.30553,1.30553,1.30553,1.30553,1.3054,1.3054,1.3054,1.3054,1.30544,1.30544,1.30544,1.30544,0.0,0.0,0.0,0.0,-4.596397956135867e-05,1.3057465000000001,1.3066502762881076,1.3048427237118927,24.347826086954598,0.5
2024-10-13 23:10:00+00:00,1.3053,1.3053,1.3053,1.3053,1.30531,1.30531,1.30531,1.30531,1.30497,1.30497,1.30497,1.30497,1.30507,1.30507,1.30507,1.30507,1.30542,1.30542,1.30542,1.30542,1.30544,1.30544,1.30544,1.30544,1.3051,1.3051,1.3051,1.3051,1.3052,1.3052,1.3052,1.3052,0.0,0.0,0.0,0.0,-0.00018386436938355732,1.3056750000000001,1.3065536952049237,1.3047963047950766,27.450980392154094,0.4024390243902417
2024-10-13 23:15:00+00:00,1.30507,1.30507,1.30507,1.30507,1.30511,1.30511,1.30511,1.30511,1.30494,1.30494,1.30494,1.30494,1.30507,1.30507,1.30507,1.30507,1.30519,1.30519,1.30519,1.30519,1.30524,1.30524,1.30524,1.30524,1.30507,1.30507,1.30507,1.30507,1.3052,1.3052,1.3052,1.3052,0.0,0.0,0.0,0.0,0.0,1.3056105,1.3064665736564458,1.3047544263435542,32.55813953487862,0.4024390243902417
2024-10-13 23:20:00+00:00,1.30506,1.30506,1.30506,1.30506,1.3052,1.3052,1.3052,1.3052,1.30503,1.30503,1.30503,1.30503,1.30506,1.30506,1.30506,1.30506,1.30519,1.30519,1.30519,1.30519,1.30532,1.30532,1.30532,1.30532,1.30515,1.30515,1.30515,1.30515,1.30519,1.30519,1.30519,1.30519,0.0,0.0,0.0,0.0,-7.66242423766439e-06,1.3055515,1.3063873109834148,1.3047156890165852,28.658536585366434,0.398373983739899
2024-10-13 23:25:00+00:00,1.30505,1.30505,1.30505,1.30505,1.30511,1.30511,1.30511,1.30511,1.305,1.305,1.305,1.305,1.30501,1.30501,1.30501,1.30501,1.30518,1.30518,1.30518,1.30518,1.30523,1.30523,1.30523,1.30523,1.30513,1.30513,1.30513,1.30513,1.30514,1.30514,1.30514,1.30514,0.0,0.0,0.0,0.0,-3.831241475493741e-05,1.305488,1.3062827353084658,1.3046932646915341,32.638888888889426,0.3780487804878247
2024-10-13 23:30:00+00:00,1.30501,1.30501,1.30501,1.30501,1.30502,1.30502,1.30502,1.30502,1.30492,1.30492,1.30492,1.30492,1.30501,1.30501,1.30501,1.30501,1.30515,1.30515,1.30515,1.30515,1.30515,1.30515,1.30515,1.30515,1.30505,1.30505,1.30505,1.30505,1.30514,1.30514,1.30514,1.30514,0.0,0.0,0.0,0.0,0.0,1.305423,1.3061438795796918,1.3047021204203082,35.877862595419714,0.3780487804878247
2024-10-13 23:35:00+00:00,1.30501,1.30501,1.30501,1.30501,1.30507,1.30507,1.30507,1.30507,1.30472,1.30472,1.30472,1.30472,1.30472,1.30472,1.30472,1.30472,1.30515,1.30515,1.30515,1.30515,1.3052,1.3052,1.3052,1.3052,1.30485,1.30485,1.30485,1.30485,1.30485,1.30485,1.30485,1.30485,0.0,0.0,0.0,0.0,-0.00022222051938292076,1.3053345,1.305926996058166,1.304742003941834,25.657894736839225,0.2601626016260823
2024-10-13 23:40:00+00:00,1.30472,1.30472,1.30472,1.30472,1.30486,1.30486,1.30486,1.30486,1.30461,1.30461,1.30461,1.30461,1.30466,1.30466,1.30466,1.30466,1.30486,1.30486,1.30486,1.30486,1.30499,1.30499,1.30499,1.30499,1.30474,1.30474,1.30474,1.30474,1.30479,1.30479,1.30479,1.30479,0.0,0.0,0.0,0.0,-4.5986878410841925e-05,1.3052679999999999,1.305849163986274,1.3046868360137258,23.717948717947436,0.23577235772357502
2024-10-13 23:45:00+00:00,1.30466,1.30466,1.30466,1.30466,1.30479,1.30479,1.30479,1.30479,1.30459,1.30459,1.30459,1.30459,1.30464,1.30464,1.30464,1.30464,1.30478,1.30478,1.30478,1.30478,1.30492,1.30492,1.30492,1.30492,1.30472,1.30472,1.30472,1.30472,1.30477,1.30477,1.30477,1.30477,0.0,0.0,0.0,0.0,-1.53296644336276e-05,1.3052165,1.3058293544087383,1.3046036455912617,26.241134751773387,0.22764227642279944
2024-10-13 23:50:00+00:00,1.30464,1.30464,1.30464,1.30464,1.30479,1.30479,1.30479,1.30479,1.30464,1.30464,1.30464,1.30464,1.30467,1.30467,1.30467,1.30467,1.30476,1.30476,1.30476,1.30476,1.30492,1.30492,1.30492,1.30492,1.30476,1.30476,1.30476,1.30476,1.3048,1.3048,1.3048,1.3048,0.0,0.0,0.0,0.0,2.299484915369021e-05,1.305162,1.3057651356659763,1.3045588643340236,14.049586776860565,0.23983739837400794
2024-10-13 23:55:00+00:00,1.30467,1.30467,1.30467,1.30467,1.30486,1.30486,1.30486,1.30486,1.30467,1.30467,1.30467,1.30467,1.30479,1.30479,1.30479,1.30479,1.30481,1.30481,1.30481,1.30481,1.30499,1.30499,1.30499,1.30499,1.3048,1.3048,1.3048,1.3048,1.30492,1.30492,1.30492,1.30492,0.0,0.0,0.0,0.0,9.197728161125518e-05,1.305126,1.3057276258672996,1.3045243741327004,23.38709677418734,0.288617886178842
2024-10-14 00:00:00+00:00,1.30479,1.30479,1.30479,1.30479,1.30484,1.30484,1.30484,1.30484,1.30413,1.30413,1.30413,1.30413,1.30423,1.30423,1.30423,1.30423,1.30491,1.30491,1.30491,1.30491,1.30497,1.30497,1.30497,1.30497,1.30426,1.30426,1.30426,1.30426,1.30436,1.30436,1.30436,1.30436,0.0,0.0,0.0,0.0,-0.00042918783865597554,1.3050685,1.3057780521196638,1.3043589478803361,17.68292682926375,0.06097560975613279
2024-10-14 00:05:00+00:00,1.30423,1.30423,1.30423,1.30423,1.30437,1.30437,1.30437,1.30437,1.30402,1.30402,1.30402,1.30402,1.30408,1.30408,1.30408,1.30408,1.30435,1.30435,1.30435,1.30435,1.30449,1.30449,1.30449,1.30449,1.30415,1.30415,1.30415,1.30415,1.30421,1.30421,1.30421,1.30421,0.0,0.0,0.0,0.0,-0.00011501038927186347,1.3049994999999999,1.3058099702988115,1.3041890297011882,16.763005780343192,0.0
2024-10-14 00:10:00+00:00,1.30408,1.30408,1.30408,1.30408,1.30451,1.30451,1.30451,1.30451,1.30408,1.30408,1.30408,1.30408,1.30437,1.30437,1.30437,1.30437,1.30422,1.30422,1.30422,1.30422,1.30464,1.30464,1.30464,1.30464,1.30422,1.30422,1.30422,1.30422,1.3045,1.3045,1.3045,1.3045,0.0,0.0,0.0,0.0,0.00022237899515387127,1.3049439999999999,1.305767839534703,1.3041201604652968,23.404255319150195,0.11788617886183266
2024-10-14 00:15:00+00:00,1.30437,1.30437,1.30437,1.30437,1.30472,1.30472,1.30472,1.30472,1.30437,1.30437,1.30437,1.30437,1.30471,1.30471,1.30471,1.30471,1.30451,1.30451,1.30451,1.30451,1.30485,1.30485,1.30485,1.30485,1.30451,1.30451,1.30451,1.30451,1.30484,1.30484,1.30484,1.30484,0.0,0.0,0.0,0.0,0.0002606622354086596,1.304914,1.305725325101944,1.3041026748980558,36.111111111112244,0.2560975609756494
