Type,Time,Bid,Ask,Volume
Tick,2024-10-13 22:00:03.796000+00:00,2656.39,2657.56,
Tick,2024-10-13 22:00:03.863000+00:00,2656.38,2657.55,
Tick,2024-10-13 22:00:04.063000+00:00,2656.2,2657.37,
Tick,2024-10-13 22:00:04.113000+00:00,2656.14,2657.31,
Tick,2024-10-13 22:00:04.954000+00:00,2656.2,2657.37,
Tick,2024-10-13 22:00:05.046000+00:00,2656.08,2657.25,
Tick,2024-10-13 22:00:05.586000+00:00,2656.35,2657.52,
Tick,2024-10-13 22:00:05.738000+00:00,2656.62,2657.79,
Tick,2024-10-13 22:00:05.747000+00:00,2656.58,2657.75,
Tick,2024-10-13 22:00:05.849000+00:00,2656.55,2657.72,
Tick,2024-10-13 22:00:06.750000+00:00,2656.28,2657.45,
Tick,2024-10-13 22:00:06.851000+00:00,2656.39,2657.56,
Tick,2024-10-13 22:00:06.860000+00:00,2656.24,2657.41,
Tick,2024-10-13 22:00:06.972000+00:00,2656.38,2657.55,
Tick,2024-10-13 22:00:07.697000+00:00,2656.2,2657.41,
Tick,2024-10-13 22:00:07.707000+00:00,2655.93,2657.14,
Tick,2024-10-13 22:00:07.716000+00:00,2655.95,2657.13,
Tick,2024-10-13 22:00:07.747000+00:00,2655.73,2656.91,
Tick,2024-10-13 22:00:07.813000+00:00,2655.67,2656.83,
Tick,2024-10-13 22:00:07.854000+00:00,2655.73,2656.89,
Tick,2024-10-13 22:00:07.949000+00:00,2655.81,2656.97,
Tick,2024-10-13 22:00:08.500000+00:00,2655.73,2656.9,
Tick,2024-10-13 22:00:08.511000+00:00,2655.88,2657.04,
Tick,2024-10-13 22:00:08.520000+00:00,2655.76,2656.92,
Tick,2024-10-13 22:00:08.673000+00:00,2655.72,2656.88,
Tick,2024-10-13 22:00:09.023000+00:00,2655.68,2656.84,
Tick,2024-10-13 22:00:09.136000+00:00,2655.59,2656.78,
Tick,2024-10-13 22:00:09.147000+00:00,2655.66,2656.85,
Tick,2024-10-13 22:00:09.157000+00:00,2655.64,2656.82,
Tick,2024-10-13 22:00:09.166000+00:00,2655.62,2656.8,
Tick,2024-10-13 22:00:09.176000+00:00,2655.61,,
Tick,2024-10-13 22:00:09.295000+00:00,2655.68,2656.84,
Tick,2024-10-13 22:00:09.308000+00:00,2655.53,2656.69,
Tick,2024-10-13 22:00:09.336000+00:00,2655.79,2656.97,
Tick,2024-10-13 22:00:09.346000+00:00,2656.05,2657.23,
Tick,2024-10-13 22:00:09.376000+00:00,2656.13,2657.31,
Tick,2024-10-13 22:00:09.456000+00:00,2656.26,2657.43,
Tick,2024-10-13 22:00:09.515000+00:00,2656.14,2657.31,
Tick,2024-10-13 22:00:09.592000+00:00,2656.03,2657.2,
Tick,2024-10-13 22:00:09.726000+00:00,2655.84,2657.01,
Tick,2024-10-13 22:00:09.805000+00:00,2655.95,2657.12,
Tick,2024-10-13 22:00:09.834000+00:00,2656,2657.17,
Tick,2024-10-13 22:00:09.861000+00:00,2655.95,2657.13,
Tick,2024-10-13 22:00:09.881000+00:00,2655.69,2656.86,
Tick,2024-10-13 22:00:09.890000+00:00,2655.66,2656.83,
Tick,2024-10-13 22:00:09.971000+00:00,2655.63,2656.8,
Tick,2024-10-13 22:00:09.981000+00:00,2655.6,2656.77,
Tick,2024-10-13 22:00:10.071000+00:00,2655.56,2656.72,
Tick,2024-10-13 22:00:10.373000+00:00,2655.55,2656.71,
Tick,2024-10-13 22:00:10.434000+00:00,2655.56,,
Tick,2024-10-13 22:00:10.929000+00:00,2655.31,2656.44,
Tick,2024-10-13 22:00:11.237000+00:00,2655.75,2656.03,
Tick,2024-10-13 22:00:11.247000+00:00,2655.37,2656.5,
Tick,2024-10-13 22:00:11.303000+00:00,2655.14,2656.27,
Tick,2024-10-13 22:00:11.404000+00:00,2655.59,2656.35,
Tick,2024-10-13 22:00:11.898000+00:00,2655.57,2656.44,
Tick,2024-10-13 22:00:11.904000+00:00,2655.58,2656.45,
Tick,2024-10-13 22:00:12.003000+00:00,,2656.46,
Tick,2024-10-13 22:00:12.705000+00:00,2655.6,2656.41,
Tick,2024-10-13 22:00:12.804000+00:00,2655.55,2656.36,
Tick,2024-10-13 22:00:12.906000+00:00,2655.56,2656.37,
Tick,2024-10-13 22:00:13.106000+00:00,2655.51,2656.38,
Tick,2024-10-13 22:00:13.205000+00:00,2655.49,2656.36,
Tick,2024-10-13 22:00:13.705000+00:00,2655.5,2656.37,
Tick,2024-10-13 22:00:14.006000+00:00,2655.49,2656.36,
Tick,2024-10-13 22:00:14.106000+00:00,2655.68,2656.56,
Tick,2024-10-13 22:00:14.306000+00:00,2655.48,2656.6,
Tick,2024-10-13 22:00:14.506000+00:00,2655.47,2656.58,
Tick,2024-10-13 22:00:14.807000+00:00,2655.49,2656.61,
Tick,2024-10-13 22:00:15.007000+00:00,2655.56,2656.47,
Tick,2024-10-13 22:00:15.107000+00:00,2655.53,2656.44,
Tick,2024-10-13 22:00:15.207000+00:00,2655.35,2656.21,
Tick,2024-10-13 22:00:15.310000+00:00,2655.27,2656.18,
Tick,2024-10-13 22:00:15.408000+00:00,2655.16,2656.05,
Tick,2024-10-13 22:00:15.508000+00:00,2655.43,2655.8,
Tick,2024-10-13 22:00:15.607000+00:00,2655.38,2655.82,
Tick,2024-10-13 22:00:15.708000+00:00,2655.09,2656.2,
Tick,2024-10-13 22:00:16.108000+00:00,2655.36,2656.46,
Tick,2024-10-13 22:00:16.509000+00:00,2655.45,2656.55,
Tick,2024-10-13 22:00:16.707000+00:00,2655.63,2656.05,
Tick,2024-10-13 22:00:16.808000+00:00,2655.61,2656.03,
Tick,2024-10-13 22:00:17.008000+00:00,2655.39,2656.51,
Tick,2024-10-13 22:00:17.109000+00:00,2655.37,2656.42,
Tick,2024-10-13 22:00:17.208000+00:00,2655.34,2656.39,
Tick,2024-10-13 22:00:17.609000+00:00,2655.33,2656.38,
Tick,2024-10-13 22:00:17.909000+00:00,2655.38,2656.43,
